Title,Note,URL,Tags,Comment
Ramen Sen-no-Kaze Kyoto,,https://www.google.com/maps/place/Ramen+Sen-no-Kaze+Kyoto/data=!4m2!3m1!1s0x600108944803e8c5:0x19df4690dc158829,,
KYOTO ENGINE RAMEN,,https://www.google.com/maps/place/KYOTO+ENGINE+RAMEN/data=!4m2!3m1!1s0x600109ba3064035b:0x42380c52c06cc8ed,,
Shogun Burger Shinjuku,,https://www.google.com/maps/place/Shogun+Burger+Shinjuku/data=!4m2!3m1!1s0x60188d527b9db527:0x8d421b36bbcce5f7,,
Ginza Itoya,חנות כלי כתיבה ענקית,https://www.google.com/maps/place/Ginza+Itoya/data=!4m2!3m1!1s0x60188be4000a0029:0x8a7da075396968c0,,
MUJI Ginza,כמו מיניסו ענקי,https://www.google.com/maps/place/MUJI+Ginza/data=!4m2!3m1!1s0x60188baa38aecf7d:0xab5a3452172b5f9,,
Ginza Loft,חנות כמו מיניסו ענקי,https://www.google.com/maps/place/Ginza+Loft/data=!4m2!3m1!1s0x60188be45c99d2a9:0x323ea1310dee9c4c,,
גינזה,,https://www.google.com/maps/place/%D7%92%D7%99%D7%A0%D7%96%D7%94%E2%80%AD/data=!4m2!3m1!1s0x60188be701836fbb:0x604685b30ba99851,,
Osaka Aquarium Kaiyukan,,https://www.google.com/maps/place/Osaka+Aquarium+Kaiyukan/data=!4m2!3m1!1s0x6000e8f48c0da9cd:0x6f83c520ae082ccc,,
teamLab Botanical Garden Osaka,,https://www.google.com/maps/place/teamLab+Botanical+Garden+Osaka/data=!4m2!3m1!1s0x6000ddcc564160bf:0x44b07e28c7a3a0fb,,
PC and Retro Bar Space Station,,https://www.google.com/maps/place/PC+and+Retro+Bar+Space+Station/data=!4m2!3m1!1s0x6000e711ece51eaf:0x6a07eec386221795,,
Dotonbori,,https://www.google.com/maps/place/Dotonbori/data=!4m2!3m1!1s0x6000e713818af9fd:0xb8bb1326b48ba590,,
Minoh Park,,https://www.google.com/maps/place/Minoh+Park/data=!4m2!3m1!1s0x6000f98dcd18275b:0x11b23b2040fdbcea,,
Expo '70 Commemorative Park,,https://www.google.com/maps/place/Expo+'70+Commemorative+Park/data=!4m2!3m1!1s0x6000fcb4a27adf27:0x66a0ea1cda80d2b4,,
Namba Yasaka Jinja,,https://www.google.com/maps/place/Namba+Yasaka+Jinja/data=!4m2!3m1!1s0x6000e77279bd5541:0x80c374197554ea9f,,
Shitennoji,,https://www.google.com/maps/place/Shitennoji/data=!4m2!3m1!1s0x6000ddf814c3d229:0xb1c4b1f7b63b76e9,,
Osaka Tenmangu Shrine,,https://www.google.com/maps/place/Osaka+Tenmangu+Shrine/data=!4m2!3m1!1s0x6000e6dba42a1cef:0xa135ef22a79f6eb2,,
Osaka Castle Park,,https://www.google.com/maps/place/Osaka+Castle+Park/data=!4m2!3m1!1s0x6000e0c977655555:0x67f69eaef984d98b,,
טירת אוסקה,,https://www.google.com/maps/place/%D7%98%D7%99%D7%A8%D7%AA+%D7%90%D7%95%D7%A1%D7%A7%D7%94%E2%80%AD/data=!4m2!3m1!1s0x6000e0cd5c283afd:0xf01d07d5ca11e41,,
Byōdo-in Temple,,https://www.google.com/maps/place/By%C5%8Ddo-in+Temple/data=!4m2!3m1!1s0x6001110ce0da2bab:0x608414938ffa07a4,,
Mimuroto-ji Temple,,https://www.google.com/maps/place/Mimuroto-ji+Temple/data=!4m2!3m1!1s0x600111780fcf3ac1:0xb11ed6e6546ed124,,
Amanohashidate Chairlift and Monorail,,https://www.google.com/maps/place/Amanohashidate+Chairlift+and+Monorail/data=!4m2!3m1!1s0x5fff913051b71055:0x587d8c869655d293,,
Amanohashidate Viewland,,https://www.google.com/maps/place/Amanohashidate+Viewland/data=!4m2!3m1!1s0x5fff9139d014fdeb:0x887258de2a32f66a,,
Philosopher's Path,,https://www.google.com/maps/place/Philosopher's+Path/data=!4m2!3m1!1s0x60010908ae94f057:0x917af331a75280f4,,
Murin-an Garden,,https://www.google.com/maps/place/Murin-an+Garden/data=!4m2!3m1!1s0x600108e093e69ddd:0xe951a45cb6a8f18e,,
Arashiyama Bamboo Forest,עמוס מאוד!!!,https://www.google.com/maps/place/Arashiyama+Bamboo+Forest/data=!4m2!3m1!1s0x6001abebbf5c8bad:0xfb9ffc7bbdd67cdd,,
Okochi Sanso Garden,,https://www.google.com/maps/place/Okochi+Sanso+Garden/data=!4m2!3m1!1s0x6001aa04f6d03719:0x4f8ea03397773abf,,
Izu Panorama Park,,https://www.google.com/maps/place/Izu+Panorama+Park/data=!4m2!3m1!1s0x601993b0490b9d4f:0x1379d6c17cb9191a,,
Dogashima Park,,https://www.google.com/maps/place/Dogashima+Park/data=!4m2!3m1!1s0x6019f7caa64b2c39:0xfb1ad016f172518a,,
Hagachizaki Monkey Bay,,https://www.google.com/maps/place/Hagachizaki+Monkey+Bay/data=!4m2!3m1!1s0x6019f8c5f38058b9:0xf60d04cb97463cbc,,
Mt. Nesugata Summit Observation Deck,,https://www.google.com/maps/place/Mt.+Nesugata+Summit+Observation+Deck/data=!4m2!3m1!1s0x601758b71cfa2c6f:0xf3cfc0b7132cd16d,,
Izu Shaboten Zoo,,https://www.google.com/maps/place/Izu+Shaboten+Zoo/data=!4m2!3m1!1s0x6019c336db85ccdd:0x5daf046e4ab33429,,
Atami Sun Beach,,https://www.google.com/maps/place/Atami+Sun+Beach/data=!4m2!3m1!1s0x6019bf2da754df55:0x1e064360cec6807c,,
Atami Ginza Shopping Street,,https://www.google.com/maps/place/Atami+Ginza+Shopping+Street/data=!4m2!3m1!1s0x6019be66556050bb:0x82e23e535336f912,,
Atami Castle,,https://www.google.com/maps/place/Atami+Castle/data=!4m2!3m1!1s0x6019be577c8d1903:0x1b8dad7aafa20ff,,
אטאמי,,https://www.google.com/maps/place/%D7%90%D7%98%D7%90%D7%9E%D7%99%E2%80%AD/data=!4m2!3m1!1s0x6019bedfe3859a9d:0xc7ce80b39564208e,,
Katsuoji,,https://www.google.com/maps/place/Katsuoji/data=!4m2!3m1!1s0x6000f979e7347fb5:0xd5ec671c17a3d34,,
Kurashiki Bikan Historical Quarter,,https://www.google.com/maps/place/Kurashiki+Bikan+Historical+Quarter/data=!4m2!3m1!1s0x355156479638dad5:0x11ce694116eb0dbe,,
Sōunzan Station,,https://www.google.com/maps/place/S%C5%8Dunzan+Station/data=!4m2!3m1!1s0x60199f5391dfbfdf:0xd1609fe5c91f05ae,,
Enoura Observatory,,https://www.google.com/maps/place/Enoura+Observatory/data=!4m2!3m1!1s0x6019bb68ded284b3:0xd235503de908e439,,
Hakone Venetian Glass Museum (Glass Forest),,https://www.google.com/maps/place/Hakone+Venetian+Glass+Museum+(Glass+Forest)/data=!4m2!3m1!1s0x60199f0c4f104ba9:0xba81ae98431c0b0,,
Hakone Shrine,,https://www.google.com/maps/place/Hakone+Shrine/data=!4m2!3m1!1s0x6019988bcd2ac2b5:0xaae4a36847c7e09a,,
Tamadare Shrine,,https://www.google.com/maps/place/Tamadare+Shrine/data=!4m2!3m1!1s0x6019a359a8c0df63:0xd7ce3f00973d4b79,,
Kōdaiji Temple,,https://www.google.com/maps/place/K%C5%8Ddaiji+Temple/data=!4m2!3m1!1s0x600108dacf7b4db9:0x24512a795f6cc880,,
Yakiniku Kokokara,,https://www.google.com/maps/place/Yakiniku+Kokokara/data=!4m2!3m1!1s0x60188d514c774689:0xaf005366be8a2d89,,
Yakiniku MARUTOMI,,https://www.google.com/maps/place/Yakiniku+MARUTOMI/data=!4m2!3m1!1s0x6001089567cf226b:0x66e9c254549c0445,,
Futo Coast,,https://www.google.com/maps/place/Futo+Coast/data=!4m2!3m1!1s0x6019f7a9f28b2b8b:0x3e1dffb91c16e9fc,,
Tagosehama Beach,,https://www.google.com/maps/place/Tagosehama+Beach/data=!4m2!3m1!1s0x6019f6569d833029:0x6be0564e252ee70c,,
Kujuppama Beach,,https://www.google.com/maps/place/Kujuppama+Beach/data=!4m2!3m1!1s0x60175ee09b9f7bb1:0x3363c512c710265c,,
Hirizo Beach,,https://www.google.com/maps/place/Hirizo+Beach/data=!4m2!3m1!1s0x60175658bfae6955:0x9ce747c38ab6ce3b,,
Lover’s Cape,,https://www.google.com/maps/place/Lover%E2%80%99s+Cape/data=!4m2!3m1!1s0x6019f45320b579eb:0x7a4733afaaf8442b,,
Shuzenji Temple,,https://www.google.com/maps/place/Shuzenji+Temple/data=!4m2!3m1!1s0x6019ecd0f756073b:0xb4356f4efb23eba2,,
Kawazu Seven Waterfalls,,https://www.google.com/maps/place/Kawazu+Seven+Waterfalls/data=!4m2!3m1!1s0x6019e44db3d16303:0x340a26afb87ee223,,
Shirahama Shrine,,https://www.google.com/maps/place/Shirahama+Shrine/data=!4m2!3m1!1s0x60175f45290cf78b:0x7fcb34c4b4697d0e,,
Shirahama beach,,https://www.google.com/maps/place/Shirahama+beach/data=!4m2!3m1!1s0x60175f45aed9fbed:0xe3fdb775b08a195,,
Mt. Omuro,,https://www.google.com/maps/place/Mt.+Omuro/data=!4m2!3m1!1s0x6019c33394b29b1f:0xee6eb9c6e8a9e7e8,,
Kadowaki Suspension Bridge,,https://www.google.com/maps/place/Kadowaki+Suspension+Bridge/data=!4m2!3m1!1s0x6019db51eb9a2d6b:0x43148bb0dc9e0944,,
Jogasaki Coast,,https://www.google.com/maps/place/Jogasaki+Coast/data=!4m2!3m1!1s0x6019db691c5b3e3f:0xc25bdc9a934e34cc,,
Izu,,https://www.google.com/maps/place/Izu/data=!4m2!3m1!1s0x6019edb74e725101:0x97e878b2fc5d1a15,,
Sounzan,,https://www.google.com/maps/place/Sounzan/data=!4m2!3m1!1s0x601998ad86bd3a3b:0x8bf70fc8691a0d12,,
Owakudani,,https://www.google.com/maps/place/Owakudani/data=!4m2!3m1!1s0x60199f8f1ec79fd7:0xd0493ad46488c133,,
Hakone Checkpoint,,https://www.google.com/maps/place/Hakone+Checkpoint/data=!4m2!3m1!1s0x60199864f16917f3:0x2367a5762e15a545,,
BOX BURGER 箱根湯本店…,,https://www.google.com/maps/place/BOX+BURGER+%E7%AE%B1%E6%A0%B9%E6%B9%AF%E6%9C%AC%E5%BA%97%E2%80%A6/data=!4m2!3m1!1s0x6019a3d86ced69fb:0xd51b7000d1c8aaec,,
Ginza Hachigou,,https://www.google.com/maps/place/Ginza+Hachigou/data=!4m2!3m1!1s0x60188be664634e5f:0xb960da45f432b5da,,
Jindaiji Temple,,https://www.google.com/maps/place/Jindaiji+Temple/data=!4m2!3m1!1s0x6018f0222e39f581:0x7222176660ece209,,
Kyōto Orgel-Dō Saga,,https://www.google.com/maps/place/Ky%C5%8Dto+Orgel-D%C5%8D+Saga/data=!4m2!3m1!1s0x6001a9fe34a6aaab:0x8cf5fc1f54c4b1be,,
Edo Kiriko Asakusa Ojima,,https://www.google.com/maps/place/Edo+Kiriko+Asakusa+Ojima/data=!4m2!3m1!1s0x601885808868d6bb:0xca8e8c323d253158,,
Yoroniku Ebisu,,https://www.google.com/maps/place/Yoroniku+Ebisu/data=!4m2!3m1!1s0x60188b6aa88b9823:0x71872727f4485fa8,,
Sankeien Garden,,https://www.google.com/maps/place/Sankeien+Garden/data=!4m2!3m1!1s0x601842d191a85ba3:0x35551ca0677af962,,
Sakuragicho,,https://www.google.com/maps/place/Sakuragicho/data=!4m2!3m1!1s0x60185c5e1a2c8b69:0x378984b808565a3f,,
Akarenga Park,,https://www.google.com/maps/place/Akarenga+Park/data=!4m2!3m1!1s0x60185c563bd0682f:0x54bb4ea9607510ea,,
Yamashita Park,,https://www.google.com/maps/place/Yamashita+Park/data=!4m2!3m1!1s0x60185ce2b1bb57b7:0xe3ba49f16272376c,,
Motomachi,,https://www.google.com/maps/place/Motomachi/data=!4m2!3m1!1s0x60185ce1b72c1bff:0xf686fb8fc1361235,,
Yokohama Chinatown,,https://www.google.com/maps/place/Yokohama+Chinatown/data=!4m2!3m1!1s0x60185cef7b8bffff:0x90abf0214d828f35,,
יוקוהמה,,https://www.google.com/maps/place/%D7%99%D7%95%D7%A7%D7%95%D7%94%D7%9E%D7%94%E2%80%AD/data=!4m2!3m1!1s0x60185becbbb66509:0x69683f660285400,,
Fuji Five Lakes,,https://www.google.com/maps/place/Fuji+Five+Lakes/data=!4m2!3m1!1s0x6019675309a6d7c1:0x1abd54a5e8b1cda6,,
קמקורה,,https://www.google.com/maps/place/%D7%A7%D7%9E%D7%A7%D7%95%D7%A8%D7%94%E2%80%AD/data=!4m2!3m1!1s0x6018459b80ac5619:0x5700747a399f2502,,
אודאיבה,,https://www.google.com/maps/place/%D7%90%D7%95%D7%93%D7%90%D7%99%D7%91%D7%94%E2%80%AD/data=!4m2!3m1!1s0x601889f82c55d4cb:0x79fe8b211d2010b9,,
גולדן גאי,,https://www.google.com/maps/place/%D7%92%D7%95%D7%9C%D7%93%D7%9F+%D7%92%D7%90%D7%99%E2%80%AD/data=!4m2!3m1!1s0x60188cd96586b9af:0x71a5c0e1150c1a8f,,
Yasukuni-jinja Shrine,,https://www.google.com/maps/place/Yasukuni-jinja+Shrine/data=!4m2!3m1!1s0x60188c680dae43d5:0xb5e754e6bf88ce90,,
Chidorigafuchi Park,,https://www.google.com/maps/place/Chidorigafuchi+Park/data=!4m2!3m1!1s0x60188c71d2724ad9:0xf67d646b0ccad035,,
Imperial Palace East National Gardens,,https://www.google.com/maps/place/Imperial+Palace+East+National+Gardens/data=!4m2!3m1!1s0x60188c13425af13d:0xa31b000a35db03f9,,
Tsuzumi-mon Gate,,https://www.google.com/maps/place/Tsuzumi-mon+Gate/data=!4m2!3m1!1s0x5ff8336a1d830563:0xb98e78ac002f627d,,
Kanazawa Castle Park,,https://www.google.com/maps/place/Kanazawa+Castle+Park/data=!4m2!3m1!1s0x5ff833823df14795:0xa827189e97e61e4a,,
Oyama Shrine,,https://www.google.com/maps/place/Oyama+Shrine/data=!4m2!3m1!1s0x5ff8337917be01c1:0x259e2f5b2bb2f501,,
Kibune River,,https://www.google.com/maps/place/Kibune+River/data=!4m2!3m1!1s0x6001a6054a8d29af:0x1489012f1050c96,,
טירת ניג'ו,,https://www.google.com/maps/place/%D7%98%D7%99%D7%A8%D7%AA+%D7%A0%D7%99%D7%92'%D7%95%E2%80%AD/data=!4m2!3m1!1s0x600107d40a2b9b0b:0x106b8759906a2f2f,,
Kiyomizu-dera,,https://www.google.com/maps/place/Kiyomizu-dera/data=!4m2!3m1!1s0x600108d385dcfb07:0x62af658650c434ba,,
Pontocho Park,,https://www.google.com/maps/place/Pontocho+Park/data=!4m2!3m1!1s0x600108eb2db70209:0x1061b5eff19324dc,,
אייקן-דו זנרין-ג'י,,https://www.google.com/maps/place/%D7%90%D7%99%D7%99%D7%A7%D7%9F-%D7%93%D7%95+%D7%96%D7%A0%D7%A8%D7%99%D7%9F-%D7%92'%D7%99%E2%80%AD/data=!4m2!3m1!1s0x60010918b2b38d17:0x1c9705a093b0ad54,,
Nanzen-ji,,https://www.google.com/maps/place/Nanzen-ji/data=!4m2!3m1!1s0x600109217397fbfd:0x38b339a4c7e7004d,,
Gion,,https://www.google.com/maps/place/Gion/data=!4m2!3m1!1s0x600108c3c1c67b67:0xdcb04aa1398efb4,,
Daihikaku Senkō-ji Temple,,https://www.google.com/maps/place/Daihikaku+Senk%C5%8D-ji+Temple/data=!4m2!3m1!1s0x6001aa0fbd247789:0xc5de909bf2477e82,,
Rankyo Gorge,,https://www.google.com/maps/place/Rankyo+Gorge/data=!4m2!3m1!1s0x6001aa06db7c2047:0x67a7c3d3f36cf03b,,
Arashiyama Park viewpoint,,https://www.google.com/maps/place/Arashiyama+Park+viewpoint/data=!4m2!3m1!1s0x6001aa0425bee005:0xecd27e8f5706049a,,
Tenryu-ji,,https://www.google.com/maps/place/Tenryu-ji/data=!4m2!3m1!1s0x6001aa01b80f9e93:0xcd9c3edaff3348c0,,
Arashiyama Park Kameyama Area,,https://www.google.com/maps/place/Arashiyama+Park+Kameyama+Area/data=!4m2!3m1!1s0x6001aa06adc6f49f:0xca892e2244ca2df6,,
Arashiyama Nakaoshitacho,,https://www.google.com/maps/place/Arashiyama+Nakaoshitacho/data=!4m2!3m1!1s0x600100aa7893b8e9:0x48498d83006f45b0,,
Nishiki Market,,https://www.google.com/maps/place/Nishiki+Market/data=!4m2!3m1!1s0x6001089ccd8ccb4f:0xb69ea31001ec6c9c,,
ringram Osakaumedaten,,https://www.google.com/maps/place/ringram+Osakaumedaten/data=!4m2!3m1!1s0x6000e758876f3053:0xfd84f4cb39df4420,,
Nintendo Museum,,https://www.google.com/maps/place/Nintendo+Museum/data=!4m2!3m1!1s0x60011188b83087d3:0x646fdf4a68b62b4d,,
Chureito Pagoda,,https://www.google.com/maps/place/Chureito+Pagoda/data=!4m2!3m1!1s0x6019674cfd52a073:0xda57e34920aee799,,
Peace Torii,,https://www.google.com/maps/place/Peace+Torii/data=!4m2!3m1!1s0x6019988a06f105ab:0x6f4b50288715dc3a,,
Dekasan,,https://www.google.com/maps/place/Dekasan/data=!4m2!3m1!1s0x6000e71299d3a087:0x5b2999d4b998d873,,
Cois Espresso Club Shinjuku Gyoemmae,,https://www.google.com/maps/place/Cois+Espresso+Club+Shinjuku+Gyoemmae/data=!4m2!3m1!1s0x60188d41dd039a87:0xfdeeeed7ad0d06e8,,
שינג'וקו גיואן,,https://www.google.com/maps/place/%D7%A9%D7%99%D7%A0%D7%92'%D7%95%D7%A7%D7%95+%D7%92%D7%99%D7%95%D7%90%D7%9F%E2%80%AD/data=!4m2!3m1!1s0x60188cc21b93233f:0x6a1eb1b5a117f287,,
Lake Kawaguchi,,https://www.google.com/maps/place/Lake+Kawaguchi/data=!4m2!3m1!1s0x60195fb4a5043f4f:0x29cbb24b1e337d47,,
Masahiko Ozumi Paris 本店,,https://www.google.com/maps/place/Masahiko+Ozumi+Paris+%E6%9C%AC%E5%BA%97/data=!4m2!3m1!1s0x6000e7079ccb5147:0xddf78eca642b9e81,,
Amagiso,,https://www.google.com/maps/place/Amagiso/data=!4m2!3m1!1s0x6019e4496b2784d5:0xf2316293cf141315,,
Funaya,,https://www.google.com/maps/place/Funaya/data=!4m2!3m1!1s0x5fff9f8db27f560b:0x8254ca426e5ee489,,
Kegon Falls,,https://www.google.com/maps/place/Kegon+Falls/data=!4m2!3m1!1s0x601fa8cf34bbd485:0xbb8f7a35e2c50e6e,,
HOSHINOYA Kyoto,,https://www.google.com/maps/place/HOSHINOYA+Kyoto/data=!4m2!3m1!1s0x6001aa059844eef5:0xcf9aa1b3d2101a5,,
נאגנו,,https://www.google.com/maps/place/%D7%A0%D7%90%D7%92%D7%A0%D7%95%E2%80%AD/data=!4m2!3m1!1s0x601d805de6344499:0xf128a974072892c8,,
Oide Park,,https://www.google.com/maps/place/Oide+Park/data=!4m2!3m1!1s0x5ff7d3461bf7bc49:0x869fbbab5f4f989d,,
Koya,,https://www.google.com/maps/place/Koya/data=!4m2!3m1!1s0x6006d8c73c814c5d:0xdce24fdf8a7ba5d5,,
American Village,,https://www.google.com/maps/place/American+Village/data=!4m2!3m1!1s0x6000e711ee4cf6ef:0x6ecfb23afa1519bc,,
Arashiyama Park Nakanoshima Area,,https://www.google.com/maps/place/Arashiyama+Park+Nakanoshima+Area/data=!4m2!3m1!1s0x600107551dd50331:0xb4f4712a9f10fc43,,
Takamine Onsen hot spring,,https://www.google.com/maps/place/Takamine+Onsen+hot+spring/data=!4m2!3m1!1s0x601dc85da9ce008d:0x8bb6eb226e6a33e7,,
אממי אושימה,,https://www.google.com/maps/place/%D7%90%D7%9E%D7%9E%D7%99+%D7%90%D7%95%D7%A9%D7%99%D7%9E%D7%94%E2%80%AD/data=!4m2!3m1!1s0x351fb65ec52298b7:0xa6d5376c92ef8f01,,
ניקו,,https://www.google.com/maps/place/%D7%A0%D7%99%D7%A7%D7%95%E2%80%AD/data=!4m2!3m1!1s0x601fa4b7c69ac8d1:0x6f526b42961dd1c0,,
שירקאווה-גו וגוקאיאמה,,https://www.google.com/maps/place/%D7%A9%D7%99%D7%A8%D7%A7%D7%90%D7%95%D7%95%D7%94-%D7%92%D7%95+%D7%95%D7%92%D7%95%D7%A7%D7%90%D7%99%D7%90%D7%9E%D7%94%E2%80%AD/data=!4m2!3m1!1s0x5ff871b0b6bf25e7:0xccc551bb9d5805f8,,
Tsubame Onsen,,https://www.google.com/maps/place/Tsubame+Onsen/data=!4m2!3m1!1s0x5ff63e73b058a043:0x4b6a864dc004c8e9,,
Shinsaibashisuji,,https://www.google.com/maps/place/Shinsaibashisuji/data=!4m2!3m1!1s0x6000e711361b1273:0xc014cffbbb0ac797,,
"Shin Sekai ""New World""",,https://www.google.com/maps/place/Shin+Sekai+%22New+World%22/data=!4m2!3m1!1s0x6000e7607657a257:0x36b1d7d86ab8d6fb,,
קנאזווה,,https://www.google.com/maps/place/%D7%A7%D7%A0%D7%90%D7%96%D7%95%D7%95%D7%94%E2%80%AD/data=!4m2!3m1!1s0x5ff83655468566c3:0x8df155c46fde6215,,
Koyasan,,https://www.google.com/maps/place/Koyasan/data=!4m2!3m1!1s0x60072760fd70987d:0xa291bb22d7c5beb7,,
Tsukiji Outer Market,,https://www.google.com/maps/place/Tsukiji+Outer+Market/data=!4m2!3m1!1s0x60188b21cd0b675b:0xa26e24a1bf97025c,,
Higashi Chaya District (Eastern Teahouse District),,https://www.google.com/maps/place/Higashi+Chaya+District+(Eastern+Teahouse+District)/data=!4m2!3m1!1s0x5ff83374a1baf0b1:0xbb8c7a215e6a0d74,,
Omicho Market,,https://www.google.com/maps/place/Omicho+Market/data=!4m2!3m1!1s0x5ff83370f7d313d3:0xbff4287c6ca534a5,,
Kenroku-en,,https://www.google.com/maps/place/Kenroku-en/data=!4m2!3m1!1s0x5ff83383f9b25905:0x970a7b3df003f2e4,,
Kenninji Temple,,https://www.google.com/maps/place/Kenninji+Temple/data=!4m2!3m1!1s0x600108c1242b7b27:0x7e608f1986c5bb52,,
